Time,Volts,Measure
0.000,0.10,545
0.100,0.10,545
0.200,0.10,544
0.300,0.10,543
0.400,0.10,545
0.500,0.10,543
0.600,0.10,546
0.700,0.10,545
0.800,0.10,544
0.900,0.10,541
1.000,0.10,543
1.100,0.10,546
1.200,0.10,543
1.300,0.10,545
1.400,0.10,545
1.500,0.10,543
1.600,0.10,542
1.700,0.10,546
1.800,0.10,545
1.900,0.10,543
2.000,0.10,542
2.100,0.10,546
2.200,0.10,546
2.300,0.10,544
2.400,0.10,542
2.500,0.10,543
2.600,0.10,544
2.700,0.10,536
2.800,0.10,543
2.900,0.10,545
3.000,0.10,546
3.100,0.10,544
3.200,0.10,536
3.300,0.10,543
3.400,0.10,545
3.500,0.10,543
3.600,0.10,545
3.700,0.10,542
3.800,0.10,543
3.900,0.10,544
4.000,0.10,544
4.100,0.10,544
4.200,0.10,545
4.300,0.10,544
4.400,0.10,544
4.500,0.10,544
4.600,0.10,543
4.700,0.10,547
4.800,0.10,545
4.900,0.10,545
5.000,0.10,548
5.100,0.10,545
5.200,0.10,545
5.300,0.10,547
5.400,0.10,543
5.500,0.10,547
5.600,0.10,543
5.700,0.10,544
5.800,0.10,545
5.900,0.10,542
6.000,0.10,546
6.100,0.10,545
6.200,0.10,544
6.300,0.10,545
6.400,0.10,543
6.500,0.10,544
6.600,0.10,545
6.700,0.10,544
6.800,0.10,543
6.900,0.10,543
7.000,0.10,545
7.100,0.10,546
7.200,0.10,543
7.300,0.10,535
7.400,0.10,543
7.500,0.10,546
7.600,0.10,544
7.700,0.10,543
7.800,0.10,545
7.900,0.10,544
8.000,0.10,544
8.100,0.10,540
8.200,0.10,544
8.300,0.10,545
8.400,0.10,544
8.500,0.10,543
8.600,0.10,544
8.700,0.10,544
8.800,0.10,544
8.900,0.10,545
9.000,0.10,542
9.100,0.10,544
9.200,0.10,544
9.300,0.10,545
9.400,0.10,545
9.500,0.10,544
9.600,0.10,545
9.700,0.10,546
9.800,0.10,544
9.900,0.10,532
10.000,0.10,542
10.100,0.10,543
10.200,0.10,546
10.300,0.10,545
10.400,0.10,543
10.500,0.10,539
10.600,0.10,544
10.700,0.10,546
10.800,0.10,544
10.900,0.10,544
11.000,0.10,536
11.100,0.10,544
11.200,0.10,544
11.300,0.10,545
11.400,0.10,544
11.500,0.10,544
11.600,0.10,542
11.700,0.10,544
11.800,0.10,545
11.900,0.10,543
12.000,0.10,544
12.100,0.10,543
12.200,0.10,544
12.300,0.10,549
12.400,0.10,543
12.500,0.10,548
12.600,0.10,546
12.700,0.10,544
12.800,0.10,544
12.900,0.10,543
13.000,0.10,543
13.100,0.10,549
13.200,0.10,546
13.300,0.10,545
13.400,0.10,550
13.500,0.10,543
13.600,0.10,546
13.700,0.10,544
13.800,0.10,545
13.900,0.10,546
14.000,0.10,543
14.100,0.10,545
14.200,0.10,546
14.300,0.10,545
14.400,0.10,543
14.500,0.10,545
14.600,0.10,545
14.700,0.10,544
14.800,0.10,543
14.900,0.10,542
15.000,0.10,543
15.100,0.10,543
15.200,0.10,545
15.300,0.10,545
15.400,0.10,544
15.500,0.10,533
15.600,0.10,544
15.700,0.10,545
15.800,0.10,546
15.900,0.10,544
16.000,0.10,539
16.100,0.10,544
16.200,0.10,543
16.300,0.10,542
16.400,0.10,544
16.500,0.10,547
16.600,0.10,544
16.700,0.10,545
16.800,0.10,545
16.900,0.10,544
17.000,0.10,546
17.100,0.10,545
17.200,0.10,543
17.300,0.10,550
17.400,0.10,543
17.500,0.10,546
17.600,0.10,547
17.700,0.10,545
17.800,0.10,544
17.900,0.10,540
18.000,0.10,545
18.100,0.10,542
18.200,0.10,546
18.300,0.10,544
18.400,0.10,535
18.500,0.10,543
18.600,0.10,545
18.700,0.10,545
18.800,0.10,544
18.900,0.10,538
19.000,0.10,544
19.100,0.10,544
19.200,0.10,544
19.300,0.10,544
19.400,0.10,542
19.500,0.10,543
19.600,0.10,544
19.700,0.10,544
19.800,0.10,543
19.900,0.10,545
20.000,0.10,545
20.100,0.10,543
20.200,0.10,545
20.300,0.10,544
20.400,0.10,543
20.500,0.10,540
20.600,0.10,545
20.700,0.10,544
20.800,0.10,543
20.900,0.10,544
21.000,0.10,549
21.100,0.10,545
21.200,0.10,545
21.300,0.10,545
21.400,0.10,543
21.500,0.10,550
21.600,0.10,545
21.700,0.10,545
21.800,0.10,546
21.900,0.10,543
22.000,0.10,543
22.100,0.10,546
22.200,0.10,544
22.300,0.10,536
22.400,0.10,544
22.500,0.10,545
22.600,0.10,546
22.700,0.10,545
22.800,0.10,544
22.900,0.10,545
23.000,0.10,543
23.100,0.10,545
23.200,0.10,545
23.300,0.10,544
23.400,0.10,540
23.500,0.10,544
23.600,0.10,546
23.700,0.10,545
23.800,0.10,544
23.900,0.10,541
24.000,0.10,544
24.100,0.10,545
24.200,0.10,544
24.300,0.10,543
24.400,0.10,536
24.500,0.10,544
24.600,0.10,544
24.700,0.10,544
24.800,0.10,543
24.900,0.10,546
25.000,0.10,545
25.100,0.10,544
25.200,0.10,546
25.300,0.10,544
25.400,0.10,543
25.500,0.10,544
25.600,0.10,543
25.700,0.10,543
25.800,0.10,544
25.900,0.10,544
26.000,0.10,539
26.100,0.10,543
26.200,0.10,544
26.300,0.10,546
26.400,0.10,543
26.500,0.10,545
26.600,0.10,544
26.700,0.10,545
26.800,0.10,548
26.900,0.10,543
27.000,0.10,545
27.100,0.10,545
27.200,0.10,543
27.300,0.10,544
27.400,0.10,544
27.500,0.10,545
27.600,0.10,542
27.700,0.10,544
27.800,0.10,544
27.900,0.10,545
28.000,0.10,543
28.100,0.10,546
28.200,0.10,543
28.300,0.10,545
28.400,0.10,543
28.500,0.10,543
28.600,0.10,546
28.700,0.10,545
28.800,0.10,543
28.900,0.10,539
29.000,0.10,544
29.100,0.10,543
29.200,0.10,545
29.300,0.10,544
29.400,0.10,538
29.500,0.10,543
29.600,0.10,545
29.700,0.10,544
29.800,0.10,544
29.900,0.10,548
30.000,0.10,544
30.100,0.10,543
30.200,0.10,544
30.300,0.10,545
30.400,0.10,544
30.500,0.10,542
30.600,0.10,543
30.700,0.10,545
30.800,0.10,546
30.900,0.10,544
31.000,0.10,539
31.100,0.10,543
31.200,0.10,547
31.300,0.10,546
31.400,0.10,543
31.500,0.10,542
31.600,0.10,543
31.700,0.10,546
31.800,0.10,544
31.900,0.10,543
32.000,0.10,540
32.100,0.10,544
32.200,0.10,544
32.300,0.10,545
32.400,0.10,543
32.500,0.10,546
32.600,0.10,546
32.700,0.10,543
32.800,0.10,545
32.900,0.10,545
33.000,0.10,544
33.100,0.10,520
33.200,0.10,543
33.300,0.10,545
33.400,0.10,544
33.500,0.10,543
33.600,0.10,544
33.700,0.10,543
33.800,0.10,546
33.900,0.10,544
34.000,0.10,544
34.100,0.10,535
34.200,0.10,544
34.300,0.10,545
34.400,0.10,546
34.500,0.10,543
34.600,0.10,547
34.700,0.10,544
34.800,0.10,544
34.900,0.10,544
35.000,0.10,544
35.100,0.10,544
35.200,0.10,546
35.300,0.10,543
35.400,0.10,543
35.500,0.10,545
35.600,0.10,544
35.700,0.10,541
35.800,0.10,544
35.900,0.10,546
36.000,0.10,544
36.100,0.10,544
36.200,0.10,539
36.300,0.10,544
36.400,0.10,545
36.500,0.10,544
36.600,0.10,544
36.700,0.10,535
36.800,0.10,544
36.900,0.10,547
37.000,0.10,543
37.100,0.10,543
37.200,0.10,541
37.300,0.10,544
37.400,0.10,544
37.500,0.10,545
37.600,0.10,543
37.700,0.10,544
37.800,0.10,545
37.900,0.10,542
38.000,0.10,538
38.100,0.10,544
38.200,0.10,544
38.300,0.10,544
38.400,0.10,543
38.500,0.10,543
38.600,0.10,545
38.700,0.10,543
38.800,0.10,548
38.900,0.10,543
39.000,0.10,546
39.100,0.10,544
39.200,0.10,545
39.300,0.10,540
39.400,0.10,543
39.500,0.10,546
39.600,0.10,544
39.700,0.10,545
39.800,0.10,533
39.900,0.10,545
40.000,0.10,544
40.100,0.10,547
40.200,0.10,544
40.300,0.10,544
40.400,0.10,545
40.500,0.10,544
40.600,0.10,537
40.700,0.10,545
40.800,0.10,545
40.900,0.10,545
41.000,0.10,545
41.100,0.10,543
41.200,0.10,544
41.300,0.10,544
41.400,0.10,545
41.500,0.10,543
41.600,0.10,540
41.700,0.10,543
41.800,0.10,544
41.900,0.10,545
42.000,0.10,543
42.100,0.10,545
42.200,0.10,545
42.300,0.10,544
42.400,0.10,546
42.500,0.10,543
42.600,0.10,544
42.700,0.10,544
42.800,0.10,542
42.900,0.10,542
43.000,0.10,544
43.100,0.10,544
43.200,0.10,544
43.300,0.10,543
43.400,0.10,549
43.500,0.10,546
43.600,0.10,544
43.700,0.10,549
43.800,0.10,544
43.900,0.10,546
44.000,0.10,544
44.100,0.10,544
44.200,0.10,531
44.300,0.10,544
44.400,0.10,545
44.500,0.10,547
44.600,0.10,545
44.700,0.10,541
44.800,0.10,544
44.900,0.10,547
45.000,0.10,546
45.100,0.10,541
45.200,0.10,547
45.300,0.10,545
45.400,0.10,544
45.500,0.10,540
45.600,0.10,544
45.700,0.10,546
45.800,0.10,545
45.900,0.10,545
46.000,0.10,544
46.100,0.10,544
46.200,0.10,546
46.300,0.10,545
46.400,0.10,545
46.500,0.10,531
46.600,0.10,544
46.700,0.10,545
46.800,0.10,545
46.900,0.10,543
47.000,0.10,532
47.100,0.10,544
47.200,0.10,544
47.300,0.10,544
47.400,0.10,543
47.500,0.10,547
47.600,0.10,544
47.700,0.10,544
47.800,0.10,538
47.900,0.10,543
48.000,0.10,544
48.100,0.10,546
48.200,0.10,543
48.300,0.10,538
48.400,0.10,544
48.500,0.10,545
48.600,0.10,544
48.700,0.10,543
48.800,0.10,542
48.900,0.10,544
49.000,0.10,546
49.100,0.10,545
49.200,0.10,544
49.300,0.10,542
49.400,0.10,543
49.500,0.10,543
49.600,0.10,545
