Starting 1 minute test
5213965	213965
5140965	140965
5138966	138966
5139965	139965
5139966	139966
5127965	127965
5182966	182966
5140966	140966
5128966	128966
5122966	122966
5122966	122966
5118965	118965
5120966	120966
5123966	123966
5121966	121966
5120966	120966
5122966	122966
5119965	119965
5111966	111966
5173965	173965
5120966	120966
5112966	112966
5120966	120966
5120966	120966
5117965	117965
5118966	118966
5163965	163965
5121966	121966
5120966	120966
5117966	117966
5119966	119966
5115965	115965
5118966	118966
5163965	163965
5108966	108966
5120966	120966
5121965	121965
5121966	121966
5121966	121966
5121966	121966
5170965	170965
5123966	123966
5121966	121966
5120965	120965
5111966	111966
5123966	123966
5122966	122966
5141966	141966
5120965	120965
5118966	118966
5119965	119965
5121966	121966
5122966	122966
5135965	135965
5156966	156966
5127966	127966
5120966	120966
5117965	117965
5116966	116966
5120966	120966
5115966	115966
5152966	152966
5119966	119966
5119966	119966
5121965	121965
5123966	123966
5121966	121966
5121965	121965
5144966	144966
5120965	120965
5122966	122966
5120965	120965
5120966	120966
5111966	111966
5125965	125965
5156966	156966
5119965	119965
5121966	121966
5119966	119966
5115966	115966
5120966	120966
5122965	122965
5154966	154966
5121965	121965
5128966	128966
5122966	122966
5112966	112966
5117966	117966
5121965	121965
5149966	149966
5121965	121965
5117966	117966
5120966	120966
5121965	121965
5125966	125966
5122965	122965
5153966	153966
5118965	118965
5120966	120966
5112966	112966
5121965	121965
5123966	123966
5111965	111965
5173966	173966
5118965	118965
5116966	116966
5132965	132965
5126966	126966
5120966	120966
5131965	131965
5129966	129966
5120965	120965
5112966	112966
5120966	120966
5121966	121966
5110966	110966
5121965	121965
5158966	158966
5120965	120965
5122966	122966
5121966	121966
5119966	119966
5117966	117966
5120965	120965
5156966	156966
5113965	113965
5165966	165966
5187965	187965
5181965	181965
5323964	323964
5159965	159965
5156966	156966
5195965	195965
5155965	155965
5339964	339964
5157965	157965
5157966	157966
5157965	157965
5319964	319964
5154965	154965
5183966	183966
5177966	177966
5251964	251964
5164966	164966
5140966	140966
5153965	153965
5153966	153966
5308964	308964
5149965	149965
5179966	179966
5162966	162966
5142965	142965
5302964	302964
5152966	152966
5193965	193965
5155965	155965
5271965	271965
5147966	147966
5141965	141965
5143966	143966
5146965	146965
5140966	140966
5157965	157965
5143965	143965
5139966	139966
5137965	137965
5139966	139966
5140965	140965
5167966	167966
5138965	138965
5139966	139966
5139966	139966
5137966	137966
5130966	130966
5199965	199965
5142966	142966
5128966	128966
5137966	137966
5138966	138966
5139966	139966
5193966	193966
5142965	142965
5142966	142966
5151966	151966
5138965	138965
5140966	140966
5160965	160965
5136966	136966
5139965	139965
5130966	130966
5140965	140965
5137966	137966
5198965	198965
5139965	139965
5142966	142966
5139965	139965
5139966	139966
5138966	138966
5193965	193965
5142966	142966
5140966	140966
5139966	139966
5129966	129966
5139966	139966
5198966	198966
5127966	127966
5141966	141966
5123966	123966
5126966	126966
5120965	120965
5119966	119966
5218965	218965
5118965	118965
5121966	121966
5133966	133966
5113966	113966
5119966	119966
5169965	169965
5112966	112966
5121965	121965
5121966	121966
5124966	124966
5121966	121966
5122966	122966
5155965	155965
5117966	117966
5120965	120965
5120966	120966
5110966	110966
5118965	118965
5117966	117966
5153965	153965
5119966	119966
5124965	124965
5118966	118966
5122966	122966
5121965	121965
5117966	117966
5165965	165965
5120966	120966
5121965	121965
5114966	114966
5116966	116966
5120965	120965
5113966	113966
5167965	167965
5120966	120966
5120965	120965
5121966	121966
5118966	118966
5117965	117965
5121966	121966
5170965	170965
5120966	120966
5121965	121965
5124966	124966
5122965	122965
5114966	114966
5122966	122966
5152965	152965
5122966	122966
5118965	118965
5118966	118966
5120965	120965
5121966	121966
5119966	119966
5148965	148965
5118966	118966
5120965	120965
5118966	118966
5112966	112966
5121965	121965
5127966	127966
5112966	112966
5119966	119966
5117965	117965
5120966	120966
5138965	138965
5121966	121966
5124966	124966
5121965	121965
5118966	118966
5118965	118965
5111966	111966
5157965	157965
5120966	120966
5110966	110966
5119965	119965
5120966	120966
5120965	120965
5119966	119966
5162965	162965
5117966	117966
5119966	119966
5117966	117966
5123966	123966
5113965	113965
5119966	119966
5155965	155965
5112966	112966
5121966	121966
